ch_name,co2e_value,co2e_unit,amount,declared_unit,lifecycle_boundary,checked_date_range
"發泡聚苯乙烯",2.31E+0,kgCO₂e,1,公斤(kg),搖籃到大門,2018/01/01～2018/12/31
"聚丙烯腈棉",4.36E+0,kgCO₂e,1,公斤(kg),搖籃到大門,2018/01/01～2018/12/31
"聚酯粒",4.09E+0,kgCO₂e,1,公斤(kg),搖籃到大門,2018/01/01～2018/12/31
"聚酯棉",4.45E+0,kgCO₂e,1,公斤(kg),搖籃到大門,2018/01/01～2018/12/31
"精華霜",5.50E-1,kgCO₂e,1,罐,搖籃到墳墓,2017/09/01～2019/01/31
"海苔",7.50E-2,kgCO₂e,1,包,搖籃到墳墓,2018/01/01～2018/12/31
"廢棄物焚化處理服務(岡山垃圾焚化廠)",3.60E+2,kgCO₂e,1,公噸(mt),搖籃到墳墓,2018/01/01～2018/12/31
"溫度米(台梗16號)",3.00E+0,kgCO₂e,1,包,搖籃到墳墓,2018/06/01～2019/05/31
"麥芽調味乳",3.31E+0,kgCO₂e,1,公升(L),搖籃到大門,2018/06/01～2019/05/31
"優格",4.33E+0,kgCO₂e,1,公斤(kg),搖籃到大門,2018/06/01～2019/05/31
"單結晶矽電池太陽光電模組(72片6吋)",4.65E+2,kgCO₂e,1,片,搖籃到大門,2018/08/01～2019/04/30
"多結晶矽電池太陽光電模組(72片6吋)",3.36E+2,kgCO₂e,1,片,搖籃到大門,2018/08/01～2019/04/30
"高壓透水混凝土地磚(20cm*10cm*6cm)",5.30E-1,kgCO₂e,1,片,搖籃到墳墓,2018/04/01～2018/09/30
"高壓透水混凝土地磚(20cm*20cm*6cm)",1.06E+0,kgCO₂e,1,片,搖籃到墳墓,2018/04/01～2018/09/30
"高壓透水混凝土地磚(30cm*30cm*6cm)",2.38E+0,kgCO₂e,1,片,搖籃到墳墓,2018/04/01～2018/09/30
"再生高壓透水混凝土地磚(20cm*10cm*6cm)",5.90E-1,kgCO₂e,1,片,搖籃到墳墓,2018/04/01～2018/09/30
"再生高壓透水混凝土地磚(20cm*20cm*6cm)",1.18E+0,kgCO₂e,1,片,搖籃到墳墓,2018/04/01～2018/09/30
"再生高壓透水混凝土地磚(30cm*30cm*6cm)",2.65E+0,kgCO₂e,1,片,搖籃到墳墓,2018/04/01～2018/09/30
"包裝飲用水(600ml，PET包裝)",1.21E-1,kgCO₂e,1,瓶,搖籃到墳墓,2018/01/01～2018/12/31
"包裝飲用水(1460ml，PET包裝)",2.53E-1,kgCO₂e,1,瓶,搖籃到墳墓,2018/01/01～2018/12/31
"黑咖啡",3.04E-1,kgCO₂e,1,杯,搖籃到墳墓,2019/01/01～2019/12/31
"卜特蘭水泥(Ⅱ型)",9.81E-1,kgCO₂e,1,公斤(kg),搖籃到大門,2014/01/01～2016/12/31
"鋼筋混凝土用鋼筋(SD280W)",8.35E-1,kgCO₂e,1,公斤(kg),搖籃到大門,2014/01/01～2014/12/31
"鋼筋混凝土用鋼筋(SD420W)",8.34E-1,kgCO₂e,1,公斤(kg),搖籃到大門,2014/01/01～2014/12/31
"預拌混凝土(140kgf/cm2)",2.00E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2016/07/01～2017/06/30
"預拌混凝土(175kgf/cm2)",2.24E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2016/07/01～2017/06/30
"預拌混凝土(210kgf/cm2)",2.38E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2016/07/01～2017/06/30
"預拌水中混凝土(210kgf/cm2)",3.46E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2016/07/01～2017/06/30
"預拌混凝土(245kgf/cm2)",2.52E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2016/07/01～2017/06/30
"預拌混凝土(280kgf/cm2)",3.38E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2016/07/01～2017/06/30
"自充填預拌混凝土(350kgf/cm2)",3.75E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2016/07/01～2017/06/30
"預力梁用預拌混凝土(350kgf/cm2)",4.07E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2016/07/01～2017/06/30
"早強預拌混凝土(420kgf/cm2)",3.70E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2016/07/01～2017/06/30
"密級配瀝青混凝土(混和料比例2.9％)",1.29E-1,kgCO₂e,1,公斤(kg),搖籃到大門,2018/01/01～2018/04/30
"粗級配瀝青混凝土(混和料比例2.9％)",1.29E-1,kgCO₂e,1,公斤(kg),搖籃到大門,2018/01/01～2018/04/30
"多孔隙瀝青混凝土(混和料比例3.3％)",1.34E-1,kgCO₂e,1,公斤(kg),搖籃到大門,2018/01/01～2018/04/30
"郵局郵件遞送服務",2.05E-1,kgCO₂e,1,公克(g),搖籃到墳墓,2018/01/01～2018/12/31
"廢(污)水處理服務(羅東地區水資源回收中心)",3.40E-1,kgCO₂e,1,立方公尺(m3),搖籃到墳墓,2018/01/01～2018/12/31
"廢(污)水處理服務(科技部新竹科學工業園區管理局竹南園區污水處理廠)",5.53E-1,kgCO₂e,1,立方公尺(m3),搖籃到墳墓,2018/01/01～2018/12/31
"廢(污)水處理服務(科技部南部科學園區高雄園區污水處理廠)",3.00E-1,kgCO₂e,1,立方公尺(m3),搖籃到墳墓,2017/01/01～2017/12/31
"環保抽取式擦手紙巾",7.39E-1,kgCO₂e,1,包,搖籃到墳墓,2018/01/01～2018/12/31
"抽取式衛生紙",4.02E-1,kgCO₂e,1,包,搖籃到墳墓,2018/01/01～2018/12/31
"環保抽取式衛生紙",2.79E-1,kgCO₂e,1,包,搖籃到墳墓,2018/01/01～2018/12/31
"信用卡",8.73E-1,kgCO₂e,1,張,搖籃到墳墓,2014/01/01～2017/12/31
"OPP膠帶(0.04mm*48mm*35M)",5.20E-1,kgCO₂e,1,卷,搖籃到墳墓,2017/01/01～2017/12/31
"PVC膠帶(0.17mm*48mm*12M)",7.80E-1,kgCO₂e,1,卷,搖籃到墳墓,2017/01/01～2017/12/31
"OPP膠帶(0.043mm*48mm*80M)",9.70E-1,kgCO₂e,1,卷,搖籃到墳墓,2017/01/01～2017/12/31
"PVC膠帶(0.13mm*18mm*16M)",2.80E-1,kgCO₂e,1,卷,搖籃到墳墓,2017/01/01～2017/12/31
"人身保險服務",8.05E+0,kgCO₂e,1,件,搖籃到墳墓,2017/01/01～2017/12/31
"洗潔精(965ml)",1.32E+0,kgCO₂e,1,瓶,搖籃到墳墓,2018/01/01～2018/12/31
"洗潔精(4830ml)",5.94E+0,kgCO₂e,1,瓶,搖籃到墳墓,2018/01/01～2018/12/31
"銀行臨櫃服務",1.41E+0,kgCO₂e,1,每服務人次,搖籃到墳墓,2016/01/01～2016/12/31
"鳳梨酥",1.94E-1,kgCO₂e,1,顆,搖籃到墳墓,2018/01/01～2018/12/31
"棉花(未粗疏或精梳)",1.47E+0,kgCO₂e,1,公斤(kg),搖籃到大門,～
"住宿服務（二人房）",3.00E+1,kgCO₂e,1,每房-每天,搖籃到墳墓,2016/04/01～2017/03/31
"洗髮精（1000ml）",2.10E+1,kgCO₂e,1,瓶,搖籃到墳墓,2017/01/01～2017/12/31
"洗手乳（1000ml）",1.60E+0,kgCO₂e,1,瓶,搖籃到墳墓,2017/07/01～2018/06/30
"煙燻素火腿",1.90E+0,kgCO₂e,1,條,搖籃到墳墓,2017/06/01～2018/05/31
"猴頭菇素火腿",2.00E+0,kgCO₂e,1,條,搖籃到墳墓,2017/06/01～2018/05/31
"素火腿",1.80E+0,kgCO₂e,1,條,搖籃到墳墓,2017/06/01～2018/05/31
"良質米（高雄139號品種）",6.00E+0,kgCO₂e,1,包,搖籃到墳墓,2016/08/01～2017/07/31
"百貨零售服務",3.50E-2,kgCO₂e,1,每平方米˙每小時,搖籃到墳墓,2017/01/01～2017/12/31
"茶葉蛋",2.40E+0,kgCO₂e,1,包,搖籃到墳墓,2017/01/01～2017/12/31
"鮮蛋",1.05E-1,kgCO₂e,1,顆,搖籃到墳墓,2017/01/01～2017/12/31
"大豆沙拉油（0.6L）",1.00E+0,kgCO₂e,1,瓶,搖籃到墳墓,2017/01/01～2017/12/31
"大豆沙拉油（1L）",1.70E+0,kgCO₂e,1,瓶,搖籃到墳墓,2017/01/01～2017/12/31
"大豆沙拉油（2L）",3.40E+0,kgCO₂e,1,瓶,搖籃到墳墓,2017/01/01～2017/12/31
"大豆沙拉油（2.6L）",4.50E+0,kgCO₂e,1,瓶,搖籃到墳墓,2017/01/01～2017/12/31
"大豆沙拉油（3L）",5.00E+0,kgCO₂e,1,瓶,搖籃到墳墓,2017/01/01～2017/12/31
"大豆沙拉油（18L）",3.00E+1,kgCO₂e,1,桶,搖籃到墳墓,2017/01/01～2017/12/31
"大豆沙拉油（19.56L）",3.20E+1,kgCO₂e,1,桶,搖籃到墳墓,2017/01/01～2017/12/31
"烤酥油（2L）",3.40E+0,kgCO₂e,1,瓶,搖籃到墳墓,2017/01/01～2017/12/31
"烤酥油（18L）",3.00E+1,kgCO₂e,1,桶,搖籃到墳墓,2017/01/01～2017/12/31
"瓶裝水（330ml，PET包裝）",1.50E-1,kgCO₂e,1,瓶,搖籃到墳墓,2016/01/01～2016/12/31
"瓶裝水（600ml，PET包裝）",1.40E-1,kgCO₂e,1,瓶,搖籃到墳墓,2016/01/01～2016/12/31
"瓶裝水（1500ml，PET包裝）",2.70E-1,kgCO₂e,1,瓶,搖籃到墳墓,2016/01/01～2016/12/31
"電力碳足跡(2017)",6.94E-1,kgCO₂e,1,度(kwh),搖籃到大門,2017/01/01～2017/12/31
"燃料油使用(蒸餘油/重油使用，2017)",3.96E+0,kgCO₂e,1,公升(L),搖籃到大門,2017/01/01～2017/12/31
"車用汽油(未燃燒，2017)",6.58E-1,kgCO₂e,1,公升(L),搖籃到大門,2017/01/01～2017/12/31
"柴油(未燃燒，2017)",7.35E-1,kgCO₂e,1,公升(L),搖籃到大門,2017/01/01～2017/12/31
"柴油(於固定源使用，2017)",3.35E+0,kgCO₂e,1,公升(L),搖籃到大門,2017/01/01～2017/12/31
"柴油(於公路運輸移動源使用，2017)",3.38E+0,kgCO₂e,1,公升(L),搖籃到大門,2017/01/01～2017/12/31
"柴油（於鐵路運輸與非道路運輸移動源使用，2017）",3.61E+0,kgCO₂e,1,公升(L),搖籃到大門,2017/01/01～2017/12/31
"柴油（於水路運輸移動源使用，2017）",3.37E+0,kgCO₂e,1,公升(L),搖籃到大門,2017/01/01～2017/12/31
"柴油（於捕撈移動源使用，2017）",3.36E+0,kgCO₂e,1,公升(L),搖籃到大門,2017/01/01～2017/12/31
"強化玻璃",1.75E+0,kgCO₂e,1,公斤(kg),搖籃到大門,2017/01/01～2017/12/31
"壓克力樹脂",2.29E+0,kgCO₂e,1,公斤(kg),搖籃到大門,2016/01/01～2016/12/31
"PLA蛋盤(10盒裝)",4.78E+0,kgCO₂e,1,公斤(kg),搖籃到大門,2017/01/01～2017/12/31
"寶特瓶瓶身",4.32E+0,kgCO₂e,1,公斤(kg),搖籃到大門,2017/01/01～2017/12/31
"PE瓶蓋",1.50E+1,kgCO₂e,1,公斤(kg),搖籃到大門,2015/01/01～2015/12/31
"表面白紙板",3.20E-1,kgCO₂e,1,公斤(kg),搖籃到大門,2017/01/01～2017/12/31
"紙碗",1.91E+0,kgCO₂e,1,公斤(kg),搖籃到大門,2017/01/01～2017/12/31
"紙盤",1.89E+0,kgCO₂e,1,公斤(kg),搖籃到大門,2017/01/01～2017/12/31
"密級配瀝青混凝土(3”/4)",8.75E-2,kgCO₂e,1,公斤(kg),搖籃到大門,2015/09/17～2018/01/08
"密級配瀝青混凝土(1”/2)",8.34E-2,kgCO₂e,1,公斤(kg),搖籃到大門,2015/09/17～2016/02/28
"密級配瀝青混凝土(3”/4)",8.08E-2,kgCO₂e,1,公斤(kg),搖籃到大門,2015/09/17～2018/01/08
"粗級配瀝青混凝土(1”)",8.94E-2,kgCO₂e,1,公斤(kg),搖籃到大門,2015/09/17～2018/01/08
"粗級配瀝青混凝土(1”)",8.37E-2,kgCO₂e,1,公斤(kg),搖籃到大門,2015/09/17～2018/01/08
"卜特蘭水泥(Ⅱ型)",9.64E-1,kgCO₂e,1,公斤(kg),搖籃到大門,2014/01/01～2014/12/31
"控制性低強度回填材料(CLSM)",1.57E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2017/07/01～2017/07/31
"輕質骨材混凝土(175kgf/cm2)",3.17E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2017/07/01～2017/08/31
"預拌混凝土(140kgf/cm2)",2.17E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2014/01/01～2017/08/31
"預拌混凝土(140kgf/cm2)",2.56E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2014/01/01～2015/02/28
"預拌混凝土(210kgf/cm2)",2.56E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2014/01/01～2017/08/31
"預拌混凝土(210kgf/cm2)",3.10E+2,kgCO₂e,310,立方公尺(m3),搖籃到大門,2014/01/01～2015/01/31
"水中混凝土(210kgf/cm2)",3.20E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2014/01/01～2017/07/31
"水中混凝土(210kgf/cm2)",3.59E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2013/01/01～2013/12/31
"預拌混凝土(245kgf/cm2)",2.82E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2014/01/01～2017/08/31
"預拌混凝土(245kgf/cm2)",3.41E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2014/01/01～2015/03/31
"自充填混凝土(280kgf/cm2)",3.35E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2014/01/01～2016/06/30
"自充填混凝土(280kgf/cm2)",3.53E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2014/01/01～2015/05/31
"預拌混凝土(280kgf/cm2)",3.06E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2014/01/01～2016/10/31
"預拌混凝土(280kgf/cm2)",3.55E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2014/01/01～2015/01/31
"自充填混凝土(350kgf/cm2)",3.67E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2014/01/01～2017/02/28
"自充填混凝土(350kgf/cm2)",3.93E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2014/01/01～2015/08/31
"自充填混凝土(350kgf/cm2)",4.30E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2014/01/01～2014/06/30
"早強預拌混凝土(420kgf/cm2，飛灰爐石粉替代率22％)",4.64E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2014/01/01～2016/11/30
"預拌混凝土(420kgf/cm2)",4.83E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2014/01/01～2015/03/31
"車用汽油(於固定源使用，2017)",2.93E+0,kgCO₂e,1,公升(L),搖籃到大門,2017/01/01～2017/12/31
"無收縮混凝土(420kgf/cm2)",4.93E+2,kgCO₂e,1,立方公尺(m3),搖籃到大門,2016/12/01～2017/01/31
"粗級配瀝青混凝土(混和料比例0％)",7.77E-2,kgCO₂e,1,公斤(kg),搖籃到大門,2016/10/01～2017/02/28
"粗級配瀝青混凝土(混和料比例1.9％)",9.68E-2,kgCO₂e,1,公斤(kg),搖籃到大門,2015/01/01～2015/12/31
"粗級配瀝青混凝土(混和料比例2.4％)",1.01E-1,kgCO₂e,1,公斤(kg),搖籃到大門,2015/01/01～2015/12/31
"密級配瀝青混凝土(混和料比例0％)",7.70E-2,kgCO₂e,1,公斤(kg),搖籃到大門,2016/10/01～2017/02/28
